[16/Aug/2023 11:11:13] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\rangefilter\templates with glob **/*.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\allauth\templates with glob **/*.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\templates with glob **/*.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\bookings\templates with glob **/*.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\crispy_bootstrap5\templates with glob **/*.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\templates\allauth with glob **/*.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\home\templates with glob **/*.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\allauth\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\allauth\account\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\home\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\bookings\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\crispy_forms\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\crispy_bootstrap5\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\rangefilter\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:296] Watching dir Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\random_image_from_folder\locale with glob **/*.mo.
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\forms\models.py first seen with mtime 1691749592.400371
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\crispy_forms\__init__.py first seen with mtime 1691919302.393724
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1691749587.2202525
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1691749592.6043713
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1691749587.2212534
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\_compression.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1691749592.3853705
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\encodings\utf_8.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1691749592.3563704
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1691749588.119372
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1691749592.5003715
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1691749592.527371
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\opcode.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\threading.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1691749592.5793707
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1691749592.6073718
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\template\engine.py first seen with mtime 1691749592.4943707
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1691749592.2403703
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\asyncio\log.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1691749592.4763713
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\tempfile.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1691749587.2222533
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1691749592.3513708
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\typing_extensions.py first seen with mtime 1692101029.8906164
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\utils\dates.py first seen with mtime 1691749592.5423703
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\allauth\app_settings.py first seen with mtime 1691860085.5606465
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1691749589.01737
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1691749592.2913702
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\crispy_forms\layout_slice.py first seen with mtime 1691919302.4452
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1691749592.242371
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1691749592.4803712
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\email\quoprimime.py first seen with mtime 1686114018.0
